Id,Icon,Name_DE,Name_EN,Name_PRT,Name_ESP,Calories_a_100g,Weight_per_piece,GroupId,Fat_a_100g,Saturated_fat_a_100g,Carbohydrates_a_100g,Sugar_a_100g,Salt_a_100g,Protein_a_100g,Fiber_a_100g,Name_ID,Name_NL,Name_SE,Name_DK,Name_NO,Name_MS,Genus_DE,Genus_EN,Genus_ESP,Genus_PRT,Genus_ID,Genus_MS,Genus_NL,Genus_SE,Genus_DK,Genus_NO,is_liquid,is_hard,is_soft,is_fat
279,NULL,Artischocke,Artichoke,Alcachofra,Alcachofa,47,120,2,0.20,0.05,10.50,1.00,0.09,3.30,5.40,Bok choy,Artisjok,Kronärtskocka,Artiskok,Artisjokk,Articok,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
280,🥬,Pak Choi,Bok choy,Acelga chinesa,Pak choi,13,220,2,0.20,0.03,2.20,1.20,0.06,1.50,1.00,Kale,Paksoi,Pak choi,Pak choi,Pak choi,Pak choy,M,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
281,NULL,Rosenkohl,Brussels sprouts,Couve-de-bruxelas,Coles de Bruselas,43,0,2,0.30,0.06,9.00,2.20,0.03,3.40,3.80,Kembang kol,Spruitjes,Brysselkål,Rosenkål,Rosenkål,Kobis Brussel,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
282,NULL,Pastinake,Parsnip,Pastinaca,Chirivía,75,0,2,0.30,0.05,18.00,4.80,0.02,1.20,4.90,Brokoli,Pastinaak,Palsternacka,Pastinak,Pastinakk,Parsnip,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
283,NULL,Schwarzwurzel,Salsify,Salsifi,Salsifí,82,0,2,0.20,0.05,18.00,2.00,0.02,3.30,3.30,Asparagus,Schorseneren,Svartrot,Skorzonerrod,Svartrot,Akar hitam (salsify),M,-,M,M,-,-,PL,ET,EN,ET,0,1,0,0
284,NULL,Schwarzer Rettich,Black radish,Rabanete preto,Rábano negro,16,0,2,0.10,0.02,3.40,1.90,0.02,0.80,1.60,Artichoke,Rammenas,Svart rättika,Sort rædikke,Svart reddik,Lobak hitam,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
285,NULL,Radicchio,Radicchio,Radicchio,Radicchio,23,300,2,0.30,0.05,4.50,0.60,0.04,1.40,2.00,Zaitun hijau,Radicchio,Radicchio,Radicchio,Radicchio,Radicchio,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
286,🥬,Endivie,Endive,Endívia,Endibia,17,350,2,0.20,0.03,3.40,0.30,0.06,1.30,3.10,Zaitun hitam,Andijvie,Endive,Endivie,Endivie,Endive,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
287,NULL,Chicorée,Belgian endive,Chicória belga,Endibia belga,17,90,2,0.10,0.02,3.40,0.30,0.06,1.20,3.10,Capers,Witlof,Salladscikoria,Julesalat,Sikori,Chicory,M,-,F,F,-,-,DE,EN,ET,EN,0,1,0,0
288,NULL,Spitzkohl,Pointed cabbage,Couve pontiaguda,Col puntiaguda,23,900,2,0.20,0.04,4.70,2.60,0.02,1.30,2.50,Acar,Spitskool,Spetskål,Spidskål,Spisskål,Kobis tirus,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
289,NULL,Okra,Okra,Quiabo,Okra,33,0,2,0.20,0.05,7.50,1.50,0.02,1.90,3.20,Acar timun,Okra,Okra,Okra,Okra,Bendi,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
290,🫚,Topinambur,Jerusalem artichoke,Topinambo,Topinambur,73,0,2,0.20,0.03,17.40,2.40,0.01,2.00,1.60,Acar bawang,Aardpeer,Jordärtskocka,Jordskok,Jordskokk,Topinambur,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
291,NULL,Rhabarber,Rhubarb,Ruibarbo,Ruibarbo,21,0,4,0.20,0.05,4.50,1.10,0.01,0.90,1.80,Acar paprika,Rabarber,Rabarber,Rabarber,Rabarber,Rhabarber,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
292,NULL,Granatapfel,Pomegranate,Romã,Granada,83,300,4,1.20,0.10,18.70,13.70,0.01,1.70,4.00,Acar wortel,Granaatappel,Granatäpple,Granatæble,Granateple,Buah delima,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
293,NULL,Kiwi,Kiwi,Kiwi,Kiwi,61,75,4,0.50,0.03,14.70,9.00,0.01,1.10,3.00,Acar kubis,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
294,🍑,Pfirsich,Peach,Pêssego,Melocotón,39,150,4,0.30,0.03,9.50,8.40,0.00,0.90,1.50,Acar jahe,Perzik,Persika,Fersken,Fersken,Pic,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
295,🍑,Aprikose,Apricot,Damasco,Albaricoque,48,35,4,0.40,0.03,11.10,9.20,0.00,1.40,2.00,Acar cabai,Abrikoos,Aprikos,Abrikos,Aprikos,Aprikot,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
296,NULL,Brombeeren,Blackberries,Amoras,Moras,43,0,4,0.50,0.05,9.60,4.90,0.00,1.40,5.30,Acar bawang putih,Braambessen,Björnbär,Brombær,Bjørnebær,Beri hitam,PL,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
297,NULL,Johannisbeeren,Currants,Groselhas,Grosellas,56,0,4,0.20,0.02,13.80,7.40,0.00,1.40,4.30,Acar tomat,Aalbessen,Vinbär,Ribs,Rips,Currant,PL,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
298,NULL,Cranberries,Cranberries,Oxicocos,Arándanos rojos,46,0,4,0.10,0.02,12.20,4.00,0.00,0.40,4.60,Acar jamur,Cranberry's,Tranbär,Tranebær,Tranebær,Kranberi,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
299,NULL,Maracuja,Passion fruit,Maracujá,Maracuyá,97,45,4,0.70,0.10,23.40,11.20,0.00,2.20,10.40,Acar zaitun,Passievrucht,Passionsfrukt,Passionsfrugt,Pasjonsfrukt,Markisa,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
300,NULL,Papaya,Papaya,Mamão,Papaya,43,600,4,0.30,0.10,10.80,7.80,0.01,0.50,1.70,Acar capers,Papaja,Papaya,Papaya,Papaya,Betik,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
301,NULL,Feigen,Figs,Figos,Higos,74,50,4,0.30,0.05,19.20,16.30,0.01,0.80,2.90,Acar artichoke,Vijgen,Fikon,Figner,Fiken,Buah ara,M,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
302,🥝,Kaki,Persimmon,Caqui,Caqui,70,200,4,0.20,0.05,18.60,12.50,0.00,0.60,3.60,Acar asparagus,Kaki,Kaki,Kaki,Kaki,Pisang kaki,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
303,NULL,Buchweizen,Buckwheat,Trigo-sarraceno,Trigo sarraceno,343,0,8,3.40,0.70,71.50,1.10,0.01,13.30,10.00,Acar brokoli,Boekweit,Bovete,Boghvede,Bokhvete,Gandum hitam (buckwheat),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
304,🫚,Amaranth,Amaranth,Amaranto,Amaranto,371,0,8,7.00,1.50,65.30,1.70,0.01,13.60,6.70,Acar kembang kol,Amarant,Amarant,Amaranth,Amarant,Amaranth,M,-,M,M,-,-,DE,ET,EN,ET,0,1,0,0
305,NULL,Gerste (Graupen),Barley,Cevada,Cebada,354,0,8,2.30,0.50,73.50,0.80,0.01,12.50,17.30,Acar kale,Gerst (gort),Korn (korngryn,Byg (byggryn),Byggryn,Barli,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
306,NULL,Roggenmehl,Rye flour,Farinha de centeio,Harina de centeno,335,0,8,1.70,0.30,71.20,1.00,0.01,9.40,13.20,Acar pak choi,Roggebloem,Rågmjöl,Rugmel,Rugmel,Tepung rai,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
307,🍜,Udon-Nudeln,Udon noodles,Macarrão udon,Fideos udon,347,0,8,1.20,0.20,70.40,0.60,0.02,10.40,3.50,Acar bok choy,Udon-noedels,Udonnudlar,Udon-nudler,Udon-nudler,Mi udon,PL,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
308,🍜,Soba-Nudeln,Soba noodles,Macarrão soba,Fideos soba,336,0,8,1.40,0.30,68.80,0.90,0.02,12.00,3.70,Acar sawi,Soba-noedels,Sobanudlar,Soba-nudler,Soba-nudler,Mi soba,PL,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
309,🍜,Glasnudeln,Glass noodles,Macarrão de vidro,Fideos de cristal,351,0,8,0.10,0.02,86.00,0.20,0.03,0.20,0.60,Acar kubis brussels,Glasnoedels,Glasnudlar,Glasnudler,Glassnudler,Suhun,PL,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
310,NULL,Maisgrieß,Corn grits,Sêmola de milho,Sémola de maíz,362,0,8,3.90,0.60,76.90,0.70,0.01,8.10,7.30,Acar kubis savoy,Maïsgries,Majsgryn (Polenta,Majsgryn,Polenta,Kisar jagung,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
311,NULL,Kefir,Kefir,Kefir,Kéfir,60,0,3,3.30,2.10,4.80,4.80,0.10,3.50,0.00,Acar kubis merah,Kefir,Kefir,Kefir,Kefir,Kefir,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
312,🥛,Skyr,Skyr,Skyr,Skyr,60,0,3,0.20,0.10,3.60,3.60,0.12,11.00,0.00,Acar kubis putih,Skyr,Skyr,Skyr,Skyr,Skyr,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
313,🥛,Buttermilch,Buttermilk,Leitelho,Suero de mantequilla,40,0,3,0.80,0.50,4.80,4.80,0.10,3.40,0.00,Susu mentega,Karnemelk,Kärnmjölk,Kærnemælk,Kjernemelk,Susu mentega,F,-,F,M,-,-,DE,EN,EN,EN,1,0,0,1
314,NULL,Lammkotelett,Lamb chop,Costeleta de cordeiro,Chuleta de cordero,250,0,1,20.00,9.00,0.00,0.00,0.10,17.00,0.00,Kacang pinus,Lamskotelet,Lammkotlett,Lammesecotte,Lammekotelett,Kotelet kambing,M,-,M,M,-,-,DE,ET,EN,ET,0,1,0,0
315,NULL,Truthahnbrust,Turkey breast,Peito de peru,Pechuga de pavo,135,0,1,1.50,0.40,0.00,0.00,0.08,29.00,0.00,Kacang,Kalkoenborst,Kalkonbröst,Kalkunbryst,Kalkunbryst,Dada ayam belanda,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
316,NULL,Forelle,Trout,Truta,Trucha,119,0,6,3.50,0.70,0.00,0.00,0.10,20.50,0.00,Kacang macadamia,Forel,Öring / Forell,Ørred,Ørret,Ikan trout,M,-,F,F,-,-,DE,EN,EN,ET,0,1,0,0
317,NULL,Makrele,Mackerel,Cavala,Caballa,205,0,6,13.90,3.30,0.00,0.00,0.10,18.60,0.00,Ikan makarel,Makreel,Makrill,Makrel,Makrell,Ikan makarel,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
318,NULL,Hering,Herring,Arenque,Arenque,158,0,6,9.00,2.20,0.00,0.00,0.12,18.00,0.00,Ikan herring,Haring,Sill,Sild,Sild,Ikan haring,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
319,NULL,Haselnüsse,Hazelnuts,Avelãs,Avellanas,628,0,9,60.80,4.50,16.70,4.30,0.01,14.90,9.70,Kacang pistachio,Hazelnoten,Hasselnötter,Hasselnødder,Hasselnøtter,Kacang hazel,PL,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
320,NULL,Pistazien,Pistachios,Pistaches,Pistachos,562,0,9,45.40,5.60,27.50,7.70,0.01,20.20,10.30,Kacang pistachio,Pistachenoten,Pistagenötter,Pistacie,Pistasjnøtter,Pistachio,M,-,M,PL,-,-,PL,EN,EN,EN,0,1,0,0
321,NULL,Macadamianüsse,Macadamia nuts,Nozes de macadâmia,Nueces de macadamia,718,0,9,75.80,12.10,13.80,4.60,0.01,7.90,8.60,Kacang Brazil,Macadamianoten,Macadamianötter,Macadamianødder,Macadamianøtter,Kacang makadamia,PL,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
322,NULL,Paranüsse,Brazil nuts,Castanhas-do-pará,Nueces de Brasil,656,0,9,66.40,15.10,12.30,2.30,0.01,14.30,7.50,Kacang Brazil,Paranoten,Paranötter,Paranødder,Paranøtter,Kacang Brazil,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
323,NULL,Pekannüsse,Pecans,Nozes-pecã,Nueces pecanas,691,0,9,72.00,6.20,13.90,3.90,0.00,9.20,9.60,Biji bunga matahari,Pecannoten,Pekannötter,Pekannødder,Pekannøtter,Kacang pekan,PL,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
324,NULL,Sonnenblumenkerne,Sunflower seeds,Sementes de girassol,Semillas de girasol,584,0,9,51.50,4.50,20.00,2.60,0.01,20.80,8.60,Biji labu,Zonnebloempitten,Solrosfrön,Solsikkekerner,Solsikkekjerner,Biji bunga matahari,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
325,NULL,Leinsamen,Flaxseed,Linhaça,Linaza,534,0,9,42.20,3.70,28.90,1.60,0.02,18.30,27.30,Biji chia,Lijnzaad,Linfrön,Hørfrø,Linfrø,Biji rami,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
326,NULL,Sesam,Sesame seeds,Gergelim,Sésamo,573,0,9,49.70,7.00,23.40,0.30,0.03,17.70,11.80,Biji poppy,Sesam,Sesamfrön,Sesam,Sesam,Bijan,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
327,NULL,Mohn,Poppy seeds,Sementes de papoula,Semillas de amapola,525,0,9,41.60,4.50,28.10,2.90,0.01,18.00,19.50,Biji poppy,Maanzaad,Vallmofrön,Birkes,Valmuefrø,Biji popi,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
328,🍶,Sonnenblumenöl,Sunflower oil,Óleo de girassol,Aceite de girasol,884,0,7,100.00,10.30,0.00,0.00,0.00,0.00,0.00,Minyak bunga matahari,Zonnebloemolie,Solrosolja,Solsikkeolie,Solsikkeolje,Minyak bunga matahari,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
329,🍶,Rapsöl,Rapeseed oil,Óleo de colza,Aceite de colza,884,0,7,100.00,7.40,0.00,0.00,0.00,0.00,0.00,Minyak rapa,Raapzaadolie,Rapsolja,Rapsolie,Rapsolje,Minyak canola,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
330,🍶,Kokosöl,Coconut oil,Óleo de coco,Aceite de coco,892,0,7,100.00,86.50,0.00,0.00,0.00,0.00,0.00,Minyak kelapa,Kokosolie,Kokosolja,Kokosolie,Kokosolje,Minyak kelapa,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
331,🍶,Trüffelöl,Truffle oil,Óleo de trufa,Aceite de trufa,884,0,7,100.00,14.00,0.00,0.00,0.00,0.00,0.00,Minyak truffle,Truffelolie,Tryffelolja,Trøffelolie,Trøffelolje,Minyak trufel,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
332,NULL,Mayonnaise,Mayonnaise,Maionese,Mayonesa,680,0,7,75.00,11.00,1.00,1.00,1.50,1.00,0.00,Mayones,Mayonaise,Majonnäs,Mayonnaise,Majones,Mayonis,F,-,F,F,-,-,DE,EN,EN,EN,0,0,1,1
333,🍶,Worcestersauce,Worcestershire sauce,Molho Worcestershire,Salsa Worcestershire,78,0,7,0.10,0.00,19.00,15.00,2.40,0.80,0.00,Saus Worcestershire,Worcestersaus,Worcestershiresås,Worcestershiresauce,Worcestershiresaus,Sos Worcestershire,F,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
334,🍶,Teriyaki-Sauce,Teriyaki sauce,Molho teriyaki,Salsa teriyaki,89,0,7,0.00,0.00,21.00,19.00,5.80,5.70,0.50,Saus teriyaki,Teriyakisaus,Teriyakisås,Teriyakisauce,Teriyakisaus,Sos teriyaki,F,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
335,🍶,Fischsauce,Fish sauce,Molho de peixe,Salsa de pescado,35,0,7,0.00,0.00,3.60,0.60,24.00,5.60,0.00,Saus ikan,Vissaus,Fisksås,Fiskesauce,Fiskesaus,Sos ikan,F,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
336,🍶,Austernsauce,Oyster sauce,Molho de ostra,Salsa de ostras,51,0,7,0.00,0.00,12.00,6.00,6.20,1.40,0.30,Saus tiram,Oestersaus,Ostronsås,Østerssauce,Østerssaus,Sos tiram,F,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
337,🍶,BBQ-Sauce,BBQ sauce,Molho barbecue,Salsa barbacoa,172,0,7,0.30,0.00,40.00,33.00,2.80,1.20,1.10,Saus BBQ,BBQ-saus,BBQ-sås,BBQ-sauce,BBQ-saus,Sos BBQ,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
338,NULL,Sriracha,Sriracha,Sriracha,Sriracha,93,0,7,0.90,0.20,19.00,15.00,4.80,1.30,0.70,Sriracha,Sriracha,Sriracha,Sriracha,Sriracha,Sriracha,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
339,NULL,Tahini,Tahini,Tahine,Tahini,595,0,7,53.80,7.60,21.20,0.50,0.10,17.00,9.30,Tahini,Tahin,Tahini,Tahin,Tahini,Tahini,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
340,🍶,Erdnussöl,Peanut oil,Óleo de amendoim,Aceite de cacahuete,884,0,7,100.00,17.00,0.00,0.00,0.00,0.00,0.00,Minyak kacang,Pindaolie,Jordnötsolja,Jordnøddeolie,Peanøttolje,Minyak kacang,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
341,NULL,Hanfsamen,Hemp seeds,Sementes de cânhamo,Semillas de cáñamo,553,0,9,48.80,4.60,8.70,1.50,0.01,31.60,4.00,Biji rami hemp,Hennepzaad,Hampafrön,Hampefrø,Hampfrø,Biji hemp,PL,-,PL,PL,-,-,PL,PL,PL,PL,0,1,0,0
342,NULL,Kürbiskernmus,Pumpkin seed butter,Pasta de sementes de abóbora,Crema de semillas de calabaza,580,0,7,49.00,8.70,14.00,1.50,0.05,30.00,7.00,Pasta biji labu,Pompoenpitpasta,Pumpakärnssmör,Græskarkernepasta,Gresskarkjernesmør,Mentega biji labu,N,-,F,F,-,-,DE,ET,ET,ET,0,1,0,1
343,NULL,Mandelmus,Almond butter,Pasta de amêndoa,Crema de almendra,614,0,7,56.00,4.20,19.00,4.60,0.02,21.00,11.80,Pasta almond,Amandelpasta,Mandelsmör,Mandelpasta,Mandelsmør,Mentega badam,N,-,F,F,-,-,DE,ET,ET,ET,0,1,0,1
344,NULL,Cashewmus,Cashew butter,Pasta de caju,Crema de anacardo,587,0,7,49.00,8.70,27.00,5.90,0.03,18.00,3.30,Pasta kacang mete,Cashewpasta,Cashewsmör,Cashewpasta,Cashewsmør,Mentega gajus,N,-,F,F,-,-,DE,ET,ET,ET,0,1,0,1
345,NULL,Kokoszucker,Coconut sugar,Açúcar de coco,Azúcar de coco,375,0,7,0.00,0.00,93.00,89.00,0.09,1.10,0.00,Gula kelapa,Kokossuiker,Kokossocker,Kokossukker,Kokossukker,Gula kelapa,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
346,"🍝 ",Spaghetti,Spaghetti,Esparguete,Espaguetis,358,0,8,1.50,0.30,72.00,3.50,0.01,12.50,3.00,Spageti,Spaghetti,Spaghetti,Spaghetti,Spaghetti,Spageti,PL,-,PL,PL,-,-,PL,PL,PL,PL,0,1,0,0
347,"🍝 ",Penne,Penne,Penne,Penne,357,0,8,1.50,0.30,73.00,3.50,0.01,12.50,3.00,Penne,Penne,Penne,Penne,Penne,Penne,PL,-,PL,PL,-,-,PL,PL,PL,PL,0,1,0,0
348,"🍝 ",Tagliatelle,Tagliatelle,Tagliatelle,Tagliatelle,370,0,8,4.50,1.20,67.00,2.50,0.03,13.00,3.00,Tagliatelle,Tagliatelle,Tagliatelle,Tagliatelle,Tagliatelle,Tagliatelle,PL,-,PL,PL,-,-,PL,PL,PL,PL,0,1,0,0
349,"🍝 ",Lasagneplatten,Lasagna sheets,Placas de lasanha,Placas de lasaña,359,0,8,1.80,0.40,72.00,3.10,0.01,12.50,3.00,Lembaran lasagna,Lasagnebladen,Lasagneplattor,Lasagneplader,Lasagneplater,Kepingan lasagna,PL,-,PL,PL,-,-,PL,PL,PL,PL,0,1,0,0
350,NULL,Puderzucker,Powdered sugar,Açúcar em pó,Azúcar glas,389,0,7,0.00,0.00,99.80,99.80,0.01,0.00,0.00,Gula bubuk,Poedersuiker,Florsocker,Flormelis,Melis,Gula serbuk,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
351,NULL,Brauner Zucker,Brown sugar,Açúcar mascavo,Azúcar moreno,380,0,7,0.00,0.00,98.10,97.00,0.07,0.00,0.00,Gula perang,Bruine suiker,Farinsocker,Brun farin,Brunt sukker,Gula perang,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
352,NULL,Rohrzucker,Cane sugar,Açúcar de cana,Azúcar de caña,398,0,7,0.00,0.00,99.80,99.80,0.01,0.00,0.00,Gula tebu,Rietsuiker,Rörsocker,Rørsukker,Rørsukker,Gula tebu,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
353,NULL,Gelierzucker,Jam sugar,Açúcar gelificante,Azúcar para mermelada,390,0,7,0.00,0.00,97.00,97.00,0.05,0.00,0.50,Gula gel,Geleisuiker,Syltsocker,Syltesukker,Syltesukker,Gula jem,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
354,NULL,Hefe frisch,Fresh yeast,Fermento fresco,Levadura fresca,105,0,7,1.90,0.30,8.00,0.00,0.10,8.40,7.00,Ragi segar,Verse gist,Färsk jäst,Frisk gær,Fersk gjær,Yis segar,F,-,F,M,-,-,DE,EN,EN,EN,0,0,1,0
355,🍚,Jasminreis,Jasmine rice,Arroz jasmim,Arroz jazmín,356,0,8,0.60,0.20,80.00,0.10,0.01,6.70,1.00,Beras jasmine,Jasmijnrijst,Jasminris,Jasminris,Jasminris,Beras jasmine,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
356,🍚,Wildreis,Wild rice,Arroz selvagem,Arroz salvaje,357,0,8,1.10,0.20,75.00,1.20,0.02,14.70,6.20,Beras liar,Wilde rijst,Vildris,Vildris,Villris,Beras liar,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
357,🍚,Milchreis,Pudding rice,Arroz para pudim,Arroz para arroz con leche,358,0,8,0.90,0.20,79.00,0.10,0.01,6.50,1.20,Beras puding,Dessertrijst,Grötris,Grødris,Grøtris,Beras puding,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
358,🍚,Langkornreis,Long-grain rice,Arroz de grão longo,Arroz de grano largo,360,0,8,0.70,0.20,79.00,0.10,0.01,6.80,1.30,Beras panjang,Langkorrelrijst,Långkornigt ris,Langkornsris,Langkornet ris,Beras panjang,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
359,🍚,Rundkornreis,Short-grain rice,Arroz de grão curto,Arroz de grano corto,358,0,8,0.70,0.20,79.00,0.10,0.01,6.50,1.40,Beras bulat,Rondkorrelrijst,Rundkornigt ris,Rundkornsris,Rundkornet ris,Beras bulat,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
360,NULL,Semmelwürfel,Bread cubes,Cubos de pão,Dados de pan,350,0,8,4.50,0.80,64.00,5.00,1.10,11.00,4.20,Kubus roti,Broodblokjes,Brödtärningar,Brødtern,Brødterninger,Kiub roti,PL,-,PL,PL,-,-,PL,PL,PL,PL,0,1,0,0
361,NULL,Wraps,Wraps,Wraps,Wraps,314,0,8,7.80,2.20,52.00,4.40,1.20,8.10,3.20,Wrap,Wraps,Wraps,Wraps,Wraps,Wrap,PL,-,PL,PL,-,-,PL,PL,PL,PL,0,1,0,0
